id,base_id,base_lrn,params,encode,internal_cv,grid,scale,package,has_threads
KM,kaplan,surv.kaplan,0,FALSE,FALSE,FALSE,FALSE,survival,FALSE
RIDGE,cv_glmnet,surv.cv_glmnet,0,FALSE,FALSE,FALSE,FALSE,glmnet,FALSE
GLMN,cv_glmnet,surv.cv_glmnet,1,FALSE,TRUE,FALSE,FALSE,glmnet,FALSE
RFSRC,rfsrc,surv.rfsrc,5,FALSE,FALSE,FALSE,FALSE,randomForestSRC,TRUE
RFSRC_DT,rfsrc_dt,classif.rfsrc,5,FALSE,FALSE,FALSE,FALSE,randomForestSRC,TRUE
XGBCox,xgb_cox,surv.xgboost.cox,5,TRUE,FALSE,FALSE,FALSE,xgboost,TRUE
XGB_PEM,xgb_pem,regr.xgboost,5,TRUE,FALSE,FALSE,FALSE,xgboost,TRUE
XGB_DT,xgb_dt,classif.xgboost,5,TRUE,FALSE,FALSE,FALSE,xgboost,TRUE
